Company,Model,Odometer reading,fuel,transmission,owner,mileage,engine,max_power,seats,Price
Toyota,2016,140000,Diesel,Manual,First,12.99,2494,100.6,8,1200000
Volkswagen,2014,100000,Petrol,Manual,First,15.04,1598,103.2,5,430000
Maruti,2009,77000,Petrol,Manual,Second,21.79,998,67.05,5,185000
Renault,2016,15000,Petrol,Manual,First,25.17,799,53.3,5,390000
Chevrolet,2010,185000,Diesel,Manual,First,14.8,2499,80,7,270000
Toyota,2012,120000,Diesel,Manual,Second,23.59,1364,67.1,5,278000
Mahindra,2012,120000,Diesel,Manual,First,15.96,2523,62.1,7,430000
Hyundai,2017,80000,Diesel,Manual,First,22.54,1396,88.73,5,680000
Maruti,2018,5000,Petrol,Manual,First,22,1197,81.8,5,550000
Toyota,2017,25538,Petrol,Manual,First,16.78,1496,88.73,5,625000
Tata,2009,28900,Petrol,Manual,Second,0,1172,65,5,135000
Tata,2020,16000,Diesel,Manual,First,17,1956,167.67,5,1650000
Volkswagen,2018,40000,Diesel,Manual,First,20.14,1498,88,5,650000
Tata,2012,60000,Diesel,Manual,First,21.02,1248,88.76,5,290000
Maruti,2008,19000,Petrol,Manual,First,19.7,796,46.3,5,128000
Maruti,2018,25000,Petrol,Manual,First,19.34,1462,103,7,900000
Mahindra,2018,30000,Diesel,Manual,First,16,1997,140,7,1400000
Mahindra,2015,60000,Diesel,Manual,First,15.4,1997,120,7,630000
Hyundai,2011,120000,Diesel,Manual,Second,23,1396,90,5,220000
Maruti,2011,100000,Petrol,Manual,Second,17.5,1298,85.8,5,300000
Honda,2015,80000,Petrol,Manual,First,17.4,1497,117.3,5,650000
Maruti,2017,60000,Diesel,Manual,First,28.4,1248,74.02,5,725000
Ford,2007,97000,Petrol,Manual,First,16.6,1388,68,5,142000
Skoda,2007,175000,Diesel,Manual,Second,18.7,1896,66,5,195000
Maruti,2018,15000,Petrol,Manual,First,21.21,1197,81.8,5,630000
Skoda,2013,35000,Petrol,Automatic,Second,14.3,1598,103.5,5,395000
Maruti,2016,52000,Diesel,Manual,First,23.65,1248,88.5,5,775000
Honda,2016,80000,Diesel,Manual,First,26,1498,98.6,5,765000
Maruti,2010,70000,Petrol,Manual,Second,20.92,998,67.1,5,145000
Ford,2015,80000,Diesel,Manual,First,25.83,1498,99,5,480000
Maruti,2017,40000,Diesel,Manual,First,28.4,1248,74.02,5,754000
Honda,2017,73000,Petrol,Automatic,First,12,2354,187.4,5,1750000
Maruti,2011,90000,Petrol,Manual,First,20.92,998,67.1,5,165000
BMW,2020,5000,Diesel,Automatic,First,13.38,2993,265,7,7200000
Mahindra,2015,110000,Diesel,Manual,First,16,2179,140,7,1100000
Tata,2008,120000,Diesel,Manual,Second,19.09,1396,69,5,140000
Mitsubishi,2015,39000,Diesel,Manual,First,13.5,2477,175.56,7,1700000
Maruti,1998,50000,Petrol,Manual,Second,17.3,993,60,5,55000
Tata,2010,100000,Petrol,Manual,Second,15,1368,90,5,169000
Hyundai,2019,3500,Petrol,Manual,First,18.6,1197,81.86,5,650000
Volkswagen,2015,33000,Diesel,Manual,First,20.14,1498,88.8,5,620000
Nissan,2011,60000,Petrol,Manual,Second,18.06,1198,75,5,300000
Tata,2006,120000,Diesel,Manual,Third,16.1,1405,70,5,100000
Maruti,1997,60000,Petrol,Manual,Second,16.1,796,37,4,50000
Maruti,2011,80000,Petrol,Manual,Third,15.37,1196,73,5,150000
Maruti,2007,150000,Petrol,Manual,Second,18.2,1061,64,5,120000
Hyundai,2015,40000,Petrol,Manual,First,21.1,814,55.2,5,210000
Maruti,2016,45000,Diesel,Manual,First,24.3,1248,88.5,5,950000
Honda,2016,56494,Petrol,Manual,First,18.2,1199,88.7,5,550000
Chevrolet,2014,13500,Petrol,Manual,First,18.2,1199,82.4,5,450000
Tata,2007,110000,Petrol,Manual,Second,12,2092,127,7,300000
Maruti,2007,90000,Petrol,Manual,First,16.1,796,37,4,90000
Honda,2015,50000,Petrol,Automatic,First,19,1199,88.7,5,575000
Hyundai,2015,55000,Diesel,Manual,First,24.4,1120,71,5,391000
Hyundai,2011,50000,Petrol,Manual,Third,17.92,1086,62.1,5,170000
Hyundai,2014,70000,Diesel,Manual,Second,22.54,1396,88.73,5,440000
Maruti,1997,25000,Petrol,Manual,Third,16.1,796,37,4,60000
Maruti,2019,33000,Petrol,Automatic,First,21.21,1197,81.8,5,650000
Mahindra,2016,25000,Diesel,Manual,First,16,2179,140,7,1350000
Lexus,2019,20000,Petrol,Automatic,First,22.37,2487,214.56,5,5150000
Maruti,2011,90000,Diesel,Manual,Second,19.3,1248,73.9,5,240000
Maruti,2005,35000,Petrol,Manual,First,18.9,998,67.1,5,65000
BMW,2019,8500,Diesel,Automatic,First,16.78,1995,190,5,5500000
Tata,2015,110000,Diesel,Manual,First,14.1,2179,147.94,7,503000
Maruti,2019,10000,Petrol,Manual,First,21.21,1197,81.8,5,585000
Mahindra,2016,100000,Diesel,Manual,First,15.4,1997,120,7,1100000
Mahindra,2014,300000,Diesel,Manual,Third,12.05,2179,120,8,550000
Honda,2015,39000,Petrol,Manual,First,17.4,1497,117.3,5,649000
Toyota,2018,20000,Diesel,Automatic,First,11.36,2755,171.5,8,1800000
Honda,2013,70000,Diesel,Manual,First,25.8,1498,98.6,5,425000
Lexus,2019,20000,Petrol,Automatic,First,22.37,2487,214.56,5,5150000
Honda,2015,94000,Diesel,Manual,Second,24.5,1498,98.6,7,650000
Toyota,2019,9654,Petrol,Automatic,First,19.56,1197,81.8,5,894999
Hyundai,2010,60000,Petrol,Manual,First,17,1197,80,5,250000
Tata,2018,25000,Petrol,Manual,First,17,1198,108.5,5,750000
Ford,2015,20000,Petrol,Manual,Second,15.8,1499,110,5,555000
Maruti,2009,80000,Petrol,Manual,Third,19.7,796,46.3,5,130000
Hyundai,2013,50000,Petrol,Manual,Second,21.1,814,55.2,5,219000
Tata,2015,120000,Diesel,Manual,Second,19.1,1405,70,5,229999
BMW,2016,30000,Diesel,Automatic,First,22.69,1995,190,5,2150000
Maruti,2016,50000,Diesel,Manual,First,26.59,1248,74,5,650000
Renault,2014,175000,Diesel,Manual,First,19.01,1461,108.45,5,495000
Hyundai,2015,50000,Petrol,Manual,First,19.81,1086,68.05,5,310000
Renault,2019,5000,Petrol,Manual,First,20,999,72,7,600000
Hyundai,2012,93000,Petrol,Manual,Second,17,1197,80,5,275000
Mahindra,2013,80000,Diesel,Manual,Second,12.05,2179,120,8,530000
Ford,2012,90000,Petrol,Manual,Second,15.3,1596,99.6,5,256000
Hyundai,2018,70000,Diesel,Manual,First,24,1186,73.97,5,710000
Volvo,2018,2000,Diesel,Automatic,First,16.8,1984,150,5,2475000
Volkswagen,2012,130000,Diesel,Manual,Second,20.54,1598,103.6,5,315000
Audi,2010,110000,Diesel,Automatic,Second,12.07,2967,241.4,7,1750000
Maruti,2013,90000,Petrol,Manual,First,16.02,1373,93.7,7,430000
Maruti,2012,100000,Petrol,Manual,First,22.74,796,47.3,5,220000
Honda,2019,7032,Petrol,Automatic,First,19,1199,88.76,5,779000
Hyundai,2014,80000,Petrol,Manual,First,21.1,814,55.2,5,250000
Honda,2009,105000,Petrol,Automatic,Second,12.9,1799,130,5,250000
Hyundai,2012,20000,Petrol,Manual,First,21.1,814,55.2,5,140000
Mahindra,2019,25000,Diesel,Manual,First,18.49,1493,100,7,875000
Mahindra,2013,120000,Diesel,Manual,Third,15.96,2523,62.1,9,500000
Maruti,2006,120000,Petrol,Manual,Second,16.1,796,37,4,65000
Nissan,2015,80000,Diesel,Manual,Second,20.45,1461,83.8,5,700000
Toyota,2015,120000,Diesel,Manual,First,12.99,2494,100.6,7,1050000
Maruti,2019,15000,Petrol,Manual,First,19.01,1462,103.2,6,1000000
Skoda,2016,125000,Diesel,Manual,Second,21.14,1498,103.52,5,650000
Maruti,2011,60000,Diesel,Manual,First,19.3,1248,73.9,5,265000
Hyundai,2012,80000,Diesel,Manual,Second,22.32,1582,126.32,5,440000
Hyundai,2015,50000,Diesel,Automatic,First,17.01,1582,126.2,5,1050000
Volkswagen,2012,108000,Diesel,Automatic,First,17.42,1968,175,5,900000
Ford,2004,25000,Petrol,Manual,Third,14.2,1597,92,5,100000
Tata,2017,68000,Petrol,Manual,Second,23.84,1199,84,5,328000
Honda,2018,93000,Diesel,Manual,First,27.4,1498,98.63,5,670000
Volkswagen,2010,114000,Petrol,Manual,First,14.3,1798,160,5,700000
Maruti,2014,120000,Diesel,Manual,First,25.2,1248,74,5,395000
Ford,2019,10000,Petrol,Manual,First,19,1194,94.68,5,720000
Hyundai,2008,120000,Petrol,Manual,Second,19.81,1086,68.05,5,130000
Ford,2014,120000,Diesel,Manual,Third,20,1399,68.05,5,320000
Mahindra,2011,105000,Diesel,Manual,Second,19.2,1461,65,5,229999
Maruti,2019,5000,Petrol,Automatic,First,21.7,998,67,5,475000
Honda,2014,167000,Diesel,Manual,First,25.1,1498,98.6,5,650000
Toyota,2012,90000,Diesel,Manual,First,12.8,2494,102,8,610000
Maruti,2019,3000,Petrol,Manual,First,20.89,1197,81.8,5,577000
Tata,2017,35000,Diesel,Manual,First,21.5,1497,108.5,5,830000
Skoda,2016,11000,Petrol,Automatic,First,14.3,1598,103.5,5,645000
Hyundai,2015,40000,Diesel,Manual,First,19.67,1582,126.2,5,1300000
Volkswagen,2012,74000,Diesel,Manual,Second,22.07,1199,73.9,5,350000
Hyundai,2008,120000,Diesel,Manual,Second,16.8,1493,110,5,120000
Maruti,2016,63000,Diesel,Manual,First,24.3,1248,88.5,5,839000
Tata,2017,20000,Diesel,Manual,First,14.1,2179,147.94,7,1100000
Maruti,2017,36000,Petrol,Manual,First,23.1,998,67.04,5,351000
Maruti,2015,30000,Petrol,Manual,First,20.85,1197,83.14,5,511000
Maruti,2015,80000,Diesel,Manual,First,26.59,1248,74,5,459999
Mahindra,2007,120000,Diesel,Manual,Second,19.2,1461,65,5,150000
Skoda,2018,50000,Petrol,Automatic,First,14.67,1798,177.46,5,1864999
Hyundai,2015,60000,Diesel,Manual,Fourth,24,1120,70,5,310000
Maruti,2012,70000,Petrol,Manual,Second,18.6,1197,85.8,5,280000
Ford,2011,15000,Petrol,Manual,First,15.6,1196,70,5,225000
Ford,2011,55130,Diesel,Manual,Second,20,1399,68,5,250000
Chevrolet,2011,100000,Diesel,Manual,Third,18.3,1991,147.9,5,270000
Maruti,2012,60000,Diesel,Manual,First,19.3,1248,73.9,5,380000
Hyundai,2016,42323,Diesel,Manual,First,21.19,1396,88.76,5,651000
Land,2019,21000,Diesel,Automatic,First,12.83,1999,148.31,7,4500000
BMW,2019,7500,Diesel,Automatic,First,16.78,1995,190,5,5400000
Nissan,2013,50000,Diesel,Manual,First,21.64,1461,84.8,5,325000
Maruti,2015,42000,Petrol,Manual,First,23.95,998,67.05,5,290000
Maruti,2015,115000,Diesel,Manual,Second,26.59,1248,74,5,420000
Hyundai,2018,70000,Diesel,Manual,First,21.38,1396,88.7,5,1050000
Ford,2014,54000,Diesel,Manual,First,23,1498,98.96,5,484999
Hyundai,2008,98000,Petrol,Manual,Third,20.36,1197,78.9,5,275000
Tata,2018,10000,Petrol,Manual,First,20.3,1199,84,5,550000
Mahindra,2017,40000,Diesel,Manual,First,25.32,1198,77,6,690000
Hyundai,2008,70000,Petrol,Manual,Third,19.81,1086,68.05,5,170000
Maruti,2002,80000,Petrol,Manual,Second,18.9,998,67.1,5,140000
Toyota,2015,91000,Diesel,Automatic,Second,12.55,2982,168.5,7,1650000
Renault,2015,240000,Diesel,Manual,First,19.98,1461,108.5,7,550000
Maruti,2009,52000,Petrol,Manual,Second,18.9,1061,67,5,126000
Hyundai,2012,76000,Petrol,Manual,Fourth,20.36,1197,78.9,5,210000
Maruti,2018,44885,Diesel,Manual,First,26.59,1248,74,5,751000
Mercedes,2013,25000,Diesel,Automatic,First,14.84,2143,170,5,1550000
Renault,2016,80000,Petrol,Manual,First,25.17,799,53.3,5,260000
Maruti,2011,300000,LPG,Manual,First,26.2,998,58.2,5,300000
Hyundai,2015,30000,Petrol,Manual,First,18.6,1197,81.83,5,495000
Tata,2010,120000,Diesel,Manual,Second,18,1248,75,5,105000
Renault,2019,90000,Petrol,Manual,First,23.01,999,67,5,220000
Maruti,2011,10000,Petrol,Manual,First,19.7,796,46.3,5,114999
Tata,2019,10000,Petrol,Manual,First,23.84,1199,84,5,459999
Honda,2014,72000,Diesel,Manual,First,26,1498,98.6,5,560000
Toyota,2012,246000,Diesel,Manual,Second,12.99,2494,100,7,700000
Mahindra,2005,80000,Diesel,Manual,First,13.6,2523,63,7,250000
BMW,2010,60000,Diesel,Automatic,First,16.73,1995,218,5,1000000
Mahindra,2014,37000,Diesel,Manual,First,15.96,2523,62.1,7,480000
Toyota,2020,20102,Diesel,Manual,First,13.68,2393,147.51,8,1560000
Renault,2012,110000,Diesel,Manual,Second,19.01,1461,108.45,5,500000
Tata,2016,42000,Diesel,Manual,Second,19.09,1405,69.01,5,390000
Hyundai,2019,2000,Petrol,Manual,First,18.6,1197,81.86,5,610000
Maruti,2019,10000,Petrol,Automatic,First,21.21,1197,81.8,5,600000
Tata,2013,50000,Diesel,Manual,First,21.02,1248,88.8,5,250000
Jaguar,2017,45000,Diesel,Automatic,First,19.33,1999,177,5,3200000
Maruti,2013,58343,Petrol,Manual,First,21.79,998,67.05,5,225000
Maruti,2019,10000,Petrol,Manual,First,21.21,1197,81.8,5,615000
Maruti,2006,100000,Petrol,Manual,Second,14,1061,64,5,150000
Tata,2012,60000,Diesel,Manual,First,22.3,1248,74,5,130000
Maruti,2018,38817,Diesel,Manual,First,27.39,1248,74,5,740000
Renault,2019,21000,Petrol,Manual,First,25.17,799,53.3,5,290000
Ford,2020,5000,Petrol,Manual,Second,19,1194,94.68,5,400000
Hyundai,2018,2388,Petrol,Manual,First,18.6,1197,81.83,5,730000
Maruti,2003,147000,Petrol,Manual,Fourth,18.9,998,67.1,5,50000
Hyundai,2018,50000,Diesel,Manual,First,22.54,1396,88.73,5,850000
Volkswagen,2018,19000,Petrol,Manual,First,18.78,999,75,5,565000
Hyundai,2012,53000,Diesel,Manual,Second,23,1396,90,5,500000
Mahindra,2014,120000,Diesel,Manual,First,12.05,2179,120,9,700000
Maruti,2017,46000,Petrol,Manual,First,22,1197,81.8,5,509999
Volkswagen,2010,120000,Petrol,Manual,Second,14.3,1798,160,5,300000
Jeep,2017,17000,Petrol,Automatic,First,9.5,3604,280,5,4100000
Maruti,2013,26000,Petrol,Manual,First,15.37,1196,73,5,260000
Maruti,2010,120000,Diesel,Manual,Second,17.8,1248,75,5,260000
Maruti,2003,120000,Petrol,Manual,Third,17.3,993,60,5,120000
Maruti,2015,30000,Petrol,Manual,First,20.4,1197,81.8,5,450000
Chevrolet,2012,80000,Petrol,Manual,First,16.2,995,62.1,5,170000
Toyota,2016,145000,Diesel,Manual,Second,23.59,1364,67.05,5,570000
Hyundai,2015,90000,Diesel,Manual,First,21.19,1396,88.73,5,625000
Maruti,2012,175000,Diesel,Manual,Second,21.5,1248,88.8,5,325000
Maruti,2015,50000,Diesel,Manual,First,26.59,1248,74,5,550000
Maruti,2018,25000,Diesel,Manual,First,24.3,1248,88.5,5,950000
Honda,2014,60000,Petrol,Manual,First,17.8,1497,117.3,5,650000
Honda,2006,140000,Petrol,Manual,Third,17.7,1497,78,5,158000
Honda,2015,120000,Diesel,Manual,Second,26,1498,98.6,5,615000
Honda,2015,46000,Diesel,Manual,First,24.5,1498,98.6,7,1000000
Ford,2013,49102,Petrol,Manual,Second,18.88,999,123.37,5,429000
Tata,2014,60000,Diesel,Manual,Second,23,1248,88.7,5,280000
Hyundai,2012,35000,Petrol,Manual,First,17,1197,80,5,350000
Hyundai,2014,56000,Diesel,Manual,First,22.32,1582,126.3,5,580000
Maruti,2018,70000,Petrol,Manual,Second,22,1197,81.8,5,509999
Tata,2019,2560,Petrol,Automatic,First,24,1199,83.81,5,520000
Maruti,2008,120000,Petrol,Manual,Second,19.7,796,46.3,5,145000
Mahindra,2016,139000,Diesel,Manual,First,18.49,1493,100,7,600000
Hyundai,2011,80000,Diesel,Manual,Second,21.9,1396,90,5,340000
Maruti,2012,72072,Diesel,Manual,First,21.1,1248,73.9,5,335000
Tata,2012,95000,Diesel,Manual,Second,19.4,1405,70,5,119000
Maruti,2015,170000,Diesel,Manual,First,26.59,1248,74,5,370000
Maruti,2008,35008,Petrol,Manual,First,21.79,998,67.05,5,221000
Hyundai,2019,17000,Petrol,Manual,First,18.6,1197,81.86,5,700000
Nissan,2011,96000,Petrol,Manual,First,16.95,1498,97.7,5,280000
Ford,2013,90000,Petrol,Manual,First,14.09,1596,99.6,5,350000
Maruti,2011,90000,Diesel,Manual,Fourth,19.3,1248,73.9,5,265000
Maruti,2014,25000,Petrol,Manual,First,16.02,1373,93.7,7,560000
Maruti,2012,120000,Petrol,Manual,Second,19.7,796,35,8,80000
Mahindra,2017,59000,Petrol,Manual,First,18.15,1198,82,5,530000
Maruti,2017,58559,Diesel,Manual,First,25.2,1248,74,5,693000
Mahindra,2009,90000,Diesel,Manual,Second,14,2498,112,8,300000
Hyundai,2010,110000,Petrol,Automatic,Third,16.95,1197,78.9,5,196000
Hyundai,2016,80000,Diesel,Manual,First,22.54,1396,88.73,5,511000
Toyota,2013,148120,Diesel,Manual,First,14.24,2755,174.5,7,1500000
Mahindra,2013,80000,Diesel,Manual,First,15.96,2523,63,9,400000
Hyundai,2014,110000,Diesel,Manual,First,22.54,1396,88.73,5,620000
Renault,2019,5000,Petrol,Manual,First,20,999,72,7,600000
Land,2019,21000,Diesel,Automatic,First,12.83,1999,148.31,7,4500000
Jeep,2017,17000,Petrol,Automatic,First,9.5,3604,280,5,4100000
Honda,2019,10000,Diesel,Manual,First,27.4,1498,98.63,5,800000
Maruti,2014,80000,Diesel,Manual,Second,20.77,1248,88.8,7,570000
Renault,2018,31000,Petrol,Automatic,First,24.04,999,67,5,535000
Hyundai,2010,70000,Petrol,Manual,Second,19.81,1086,68.05,5,200000
Mahindra,2007,80000,Diesel,Manual,Second,13.6,2523,63,7,240000
Maruti,2006,100000,Petrol,Manual,Second,19.7,796,46.3,5,65000
Hyundai,2018,27000,Petrol,Manual,First,15.8,1591,121.3,5,1200000
Hyundai,2018,60000,Diesel,Manual,First,22.54,1396,88.76,5,850000
Hyundai,2017,37800,Petrol,Manual,First,17,1591,121.3,5,866000
Maruti,2017,60000,Diesel,Manual,First,28.09,1248,88.5,5,650000
Maruti,2019,19000,Petrol,Automatic,First,21.4,1197,83.1,5,685000
Tata,2010,108957,Diesel,Manual,First,13.93,2179,138,7,300000
Datsun,2017,140000,Petrol,Manual,First,19.02,1198,67.05,7,200000
Chevrolet,2013,60000,Diesel,Manual,First,18.2,1248,73.8,7,450000
Honda,2017,30000,Diesel,Manual,First,25.6,1498,97.9,5,1300000
Tata,2013,80000,Diesel,Manual,Second,13.7,2179,138.1,7,500000
Tata,2009,55768,Diesel,Manual,First,17,1405,71,5,170000
